iter	Logloss	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false	F1:use_weights=true	F1:use_weights=false	Accuracy:use_weights=true	Accuracy:use_weights=false
15	0.6908042393	0.6593981683	0.4918672739	0.8390677026	0.8390677026	0.7384615385	0.6201804758	0.7028301887	0.6574176841
16	0.6906678748	0.6585045912	0.4908735332	0.8357380688	0.8357380688	0.7366104182	0.6184804928	0.7011653718	0.6563078061
17	0.6905656939	0.6602197802	0.4927821522	0.833518313	0.833518313	0.7368162865	0.6193814433	0.7022752497	0.658527562
18	0.6904269789	0.6637089618	0.4966799469	0.8301886792	0.8301886792	0.7376725838	0.621520565	0.704772475	0.6629670736
19	0.6903058305	0.6624719101	0.4952956989	0.8179800222	0.8179800222	0.7320586044	0.6169945584	0.7006104329	0.6614872364
20	0.6901538559	0.6621682411	0.4949562878	0.8168701443	0.8168701443	0.7314285714	0.6164154104	0.7000554939	0.6611172771
21	0.6900412281	0.6621743037	0.4949630625	0.8179800222	0.8179800222	0.731876862	0.6167364017	0.7003329634	0.6611172771
22	0.6898997854	0.6616003576	0.4943219773	0.8213096559	0.8213096559	0.732854667	0.6171809842	0.7006104329	0.6603773585
23	0.6897327536	0.6590004423	0.4914248021	0.8268590455	0.8268590455	0.733448191	0.6164666942	0.6995005549	0.6570477248
24	0.6895610446	0.661978022	0.4947437582	0.8357380688	0.8357380688	0.7387785136	0.6215435411	0.7044950055	0.6607473178
25	0.6894569142	0.6631532718	0.4960578187	0.8379578246	0.8379578246	0.7403775435	0.6231943871	0.7061598224	0.662227155
26	0.6893277232	0.662598082	0.4954367666	0.8435072142	0.8435072142	0.7421875	0.6242299795	0.7069922309	0.6614872364
27	0.6891649921	0.6652059597	0.498358503	0.8423973363	0.8423973363	0.7433888345	0.6262376238	0.7092119867	0.6648168701
28	0.6890241459	0.6634865568	0.496430889	0.8490566038	0.8490566038	0.7448880234	0.6265356265	0.7092119867	0.6625971143
29	0.6888977467	0.6637554585	0.4967320261	0.8435072142	0.8435072142	0.742913001	0.6252570958	0.7081021088	0.6629670736
30	0.6887512859	0.665795207	0.4990202482	0.8479467259	0.8479467259	0.7459116427	0.6282894737	0.711154273	0.6655567888
31	0.6885979937	0.6660839161	0.499344692	0.84572697	0.84572697	0.7452322738	0.6279357231	0.7108768036	0.6659267481
32	0.6884625076	0.6646314871	0.4977139125	0.84572697	0.84572697	0.7443223443	0.6266447368	0.7094894562	0.6640769515
33	0.6883325342	0.6660823839	0.4993429698	0.8435072142	0.8435072142	0.7443682664	0.6273215023	0.7103218646	0.6659267481
34	0.6881699008	0.6669584245	0.5003282994	0.84572697	0.84572697	0.7457793002	0.6287128713	0.711709212	0.667036626
35	0.6880039041	0.6643233743	0.4973684211	0.8390677026	0.8390677026	0.7415399706	0.624535316	0.7075471698	0.6637069922
36	0.6878408458	0.6663743972	0.4996712689	0.8435072142	0.8435072142	0.7445505756	0.627580512	0.7105993341	0.6662967074
37	0.6876993207	0.666083151	0.499343832	0.8446170921	0.8446170921	0.7448005872	0.627628866	0.7105993341	0.6659267481
38	0.6875636275	0.6693051891	0.5029742234	0.8446170921	0.8446170921	0.7468105986	0.6304888152	0.7136514983	0.6699963004
39	0.6874405428	0.6689986882	0.5026281209	0.8490566038	0.8490566038	0.7483492296	0.6314486174	0.7144839068	0.6696263411
40	0.6872926802	0.6701754386	0.5039577836	0.8479467259	0.8479467259	0.7486526213	0.6321886636	0.7153163152	0.6711061783
41	0.6871627057	0.6692982456	0.502966381	0.8468368479	0.8468368479	0.7476727095	0.6311000827	0.7142064373	0.6699963004
42	0.6870088934	0.6692878986	0.5029546947	0.8501664817	0.8501664817	0.7489611342	0.6320132013	0.7150388457	0.6699963004
43	0.6869103202	0.6687036229	0.502295082	0.8501664817	0.8501664817	0.7485951625	0.6314921682	0.7144839068	0.6692563818
44	0.6867938997	0.6692878986	0.5029546947	0.8501664817	0.8501664817	0.7489611342	0.6320132013	0.7150388457	0.6699963004
45	0.6866653383	0.6681184669	0.5016350556	0.8512763596	0.8512763596	0.7486578819	0.6312757202	0.7142064373	0.6685164632
46	0.6865499735	0.668989547	0.502617801	0.8523862375	0.8523862375	0.7496339678	0.6323589955	0.7153163152	0.6696263411
47	0.6863833117	0.6692810458	0.5029469548	0.8523862375	0.8523862375	0.7498169392	0.6326194399	0.7155937847	0.6699963004
48	0.6862165863	0.6695766041	0.5032808399	0.8512763596	0.8512763596	0.7495724408	0.6325773196	0.7155937847	0.6703662597
49	0.6860364065	0.6684118674	0.501965924	0.8501664817	0.8501664817	0.7484123107	0.6312319736	0.7142064373	0.6688864225
50	0.6858798089	0.668700959	0.502292076	0.8512763596	0.8512763596	0.7490234375	0.6317957166	0.7147613762	0.6692563818
51	0.6857411057	0.6695727986	0.50327654	0.8523862375	0.8523862375	0.75	0.6328800989	0.7158712542	0.6703662597
52	0.685602842	0.6687062937	0.5022980959	0.8490566038	0.8490566038	0.7481662592	0.6311881188	0.7142064373	0.6692563818
53	0.6854836673	0.6690017513	0.5026315789	0.8479467259	0.8479467259	0.7479197259	0.6311441553	0.7142064373	0.6696263411
54	0.6853502474	0.6675415573	0.5009848982	0.8468368479	0.8468368479	0.7465753425	0.6295379538	0.7125416204	0.6677765446
55	0.6851991966	0.6672481465	0.5006544503	0.8490566038	0.8490566038	0.7472527473	0.6298888431	0.7128190899	0.6674065853
56	0.6850541102	0.667542707	0.5009861933	0.84572697	0.84572697	0.7461444308	0.6292320396	0.7122641509	0.6677765446
57	0.6849461038	0.6698858648	0.503630363	0.8468368479	0.8468368479	0.7480392157	0.6316225166	0.7147613762	0.670736219
58	0.6847734691	0.6681318681	0.501650165	0.8435072142	0.8435072142	0.7456463086	0.6291390728	0.7122641509	0.6685164632
59	0.6846459184	0.668128014	0.5016458196	0.84572697	0.84572697	0.7465099192	0.6297520661	0.7128190899	0.6685164632
60	0.6844966319	0.6675415573	0.5009848982	0.8468368479	0.8468368479	0.7465753425	0.6295379538	0.7125416204	0.6677765446
61	0.68434711	0.666083151	0.499343832	0.8446170921	0.8446170921	0.7448005872	0.627628866	0.7105993341	0.6659267481
